"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"07/28/2020","36","Good","","49-035-4002","AQS"
"07/29/2020","42","Good","","49-035-2005","AQS"
"07/30/2020","55","Moderate","","49-035-4002","AQS"
"07/31/2020","56","Moderate","","49-035-4002","AQS"
"08/01/2020","45","Good","","49-035-4002","AQS"
"08/02/2020","39","Good","","49-035-4002","AQS"
"08/03/2020","63","Moderate","","49-035-3013","AQS"
"08/04/2020","69","Moderate","ROSE PARK","49-035-3010","AQS"
"08/05/2020","58","Moderate","","49-035-2005","AQS"
"08/06/2020","37","Good","Hawthorne","49-035-3006","AQS"
"08/07/2020","44","Good","","49-035-2005","AQS"
"08/08/2020","60","Moderate","","49-035-2005","AQS"
"08/09/2020","52","Moderate","","49-035-4002","AQS"
"08/10/2020","57","Moderate","","49-035-2005","AQS"
"08/11/2020","52","Moderate","","49-035-4002","AQS"
"08/12/2020","59","Moderate","","49-035-2005","AQS"
"08/13/2020","75","Moderate","","49-035-2005","AQS"
"08/14/2020","82","Moderate","","49-035-2005","AQS"
"08/15/2020","58","Moderate","","49-035-2005","AQS"
"08/16/2020","48","Good","","49-035-4002","AQS"
"08/17/2020","56","Moderate","","49-035-4002","AQS"
"08/18/2020","62","Moderate","","49-035-4002","AQS"
"08/19/2020","60","Moderate","","49-035-4002","AQS"
"08/20/2020","71","Moderate","","49-035-4002","AQS"
"08/21/2020","144","Unhealthy for Sensitive Groups","","49-035-3013","AQS"
"08/22/2020","104","Unhealthy for Sensitive Groups","","49-035-2005","AQS"
"08/23/2020","65","Moderate","ROSE PARK","49-035-3010","AQS"
"08/24/2020","83","Moderate","","49-035-2005","AQS"
"08/25/2020","79","Moderate","","49-035-4002","AQS"
"08/26/2020","64","Moderate","","49-035-2005","AQS"
"08/27/2020","53","Moderate","","49-035-2005","AQS"
"08/28/2020","60","Moderate","ROSE PARK","49-035-3010","AQS"
"08/29/2020","54","Moderate","","49-035-4002","AQS"
"08/30/2020","56","Moderate","","49-035-3013","AQS"
"08/31/2020","30","Good","","49-035-3015","AQS"
"09/01/2020","22","Good","","49-035-3015","AQS"
"09/02/2020","43","Good","ROSE PARK","49-035-3010","AQS"
"09/03/2020","37","Good","","49-035-4002","AQS"
"09/04/2020","55","Moderate","ROSE PARK","49-035-3010","AQS"
"09/05/2020","55","Moderate","ROSE PARK","49-035-3010","AQS"
"09/06/2020","85","Moderate","ROSE PARK","49-035-3010","AQS"
"09/07/2020","114","Unhealthy for Sensitive Groups","","49-035-2005","AQS"
"09/08/2020","21","Good","","49-035-4002","AQS"
"09/09/2020","23","Good","","49-035-4002","AQS"
"09/10/2020","45","Good","","49-035-4002","AQS"
"09/11/2020","54","Moderate","","49-035-4002","AQS"
"09/12/2020","65","Moderate","","49-035-4002","AQS"
"09/13/2020","60","Moderate","","49-035-4002","AQS"
"09/14/2020","44","Good","","49-035-4002","AQS"
"09/15/2020","57","Moderate","","49-035-4002","AQS"
"09/16/2020","62","Moderate","","49-035-4002","AQS"
"09/17/2020","70","Moderate","","49-035-4002","AQS"
"09/18/2020","65","Moderate","","49-035-4002","AQS"
"09/19/2020","78","Moderate","","49-035-3013","AQS"
"09/20/2020","69","Moderate","","49-035-3013","AQS"
"09/21/2020","82","Moderate","","49-035-4002","AQS"
"09/22/2020","72","Moderate","","49-035-3015","AQS"
"09/23/2020","61","Moderate","","49-035-4002","AQS"
"09/24/2020","66","Moderate","","49-035-4002","AQS"
"09/25/2020","85","Moderate","","49-035-4002","AQS"
"09/26/2020","51","Moderate","","49-035-4002","AQS"
"09/27/2020","18","Good","Hawthorne","49-035-3006","AQS"
"09/28/2020","24","Good","","49-035-4002","AQS"
"09/29/2020","39","Good","","49-035-4002","AQS"
"09/30/2020","50","Good","","49-035-4002","AQS"
"10/01/2020","46","Good","","49-035-4002","AQS"
"10/02/2020","55","Moderate","","49-035-4002","AQS"
"10/03/2020","72","Moderate","","49-035-4002","AQS"
"10/04/2020","88","Moderate","","49-035-4002","AQS"
"10/05/2020","76","Moderate","","49-035-4002","AQS"
"10/06/2020","93","Moderate","","49-035-4002","AQS"
"10/07/2020","104","Unhealthy for Sensitive Groups","","49-035-4002","AQS"
"10/08/2020","70","Moderate","","49-035-4002","AQS"
"10/09/2020","60","Moderate","","49-035-4002","AQS"
"10/10/2020","52","Moderate","ROSE PARK","49-035-3010","AQS"
"10/11/2020","59","Moderate","ROSE PARK","49-035-3010","AQS"
