"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"02/26/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"02/27/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"02/28/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"02/29/2020","5","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/01/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/02/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/03/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/04/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/05/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/06/2020","17","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/07/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/08/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/09/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/10/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/11/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/12/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/13/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/14/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/15/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/16/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/17/2020","25","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/18/2020","29","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/19/2020","30","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/20/2020","28","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/21/2020","25","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/22/2020","17","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/23/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/24/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/25/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/26/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/27/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/28/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
