"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"01/01/2020","36","Good","Intermediate School 143","36-061-0115","AQS"
"01/02/2020","56","Moderate","Intermediate School 143","36-061-0115","AQS"
"01/03/2020","62","Moderate","Intermediate School 143","36-061-0115","AQS"
"01/04/2020","55","Moderate","CCNY","36-061-0135","AQS"
"01/05/2020","37","Good","CCNY","36-061-0135","AQS"
"01/06/2020","47","Good","Intermediate School 143","36-061-0115","AQS"
"01/07/2020","43","Good","DIVISION STREET","36-061-0134","AQS"
"01/08/2020","47","Good","Intermediate School 143","36-061-0115","AQS"
"01/09/2020","43","Good","Intermediate School 143","36-061-0115","AQS"
"01/10/2020","50","Good","Intermediate School 143","36-061-0115","AQS"
"01/11/2020","49","Good","CCNY","36-061-0135","AQS"
"01/12/2020","40","Good","Intermediate School 143","36-061-0115","AQS"
"01/13/2020","49","Good","DIVISION STREET","36-061-0134","AQS"
"01/14/2020","53","Moderate","DIVISION STREET","36-061-0134","AQS"
"01/15/2020","55","Moderate","Intermediate School 143","36-061-0115","AQS"
"01/16/2020","43","Good","Intermediate School 143","36-061-0115","AQS"
"01/17/2020","37","Good","Intermediate School 143","36-061-0115","AQS"
"01/18/2020","26","Good","DIVISION STREET","36-061-0134","AQS"
"01/19/2020","40","Good","Intermediate School 143","36-061-0115","AQS"
"01/20/2020","30","Good","Intermediate School 143","36-061-0115","AQS"
"01/21/2020","35","Good","Intermediate School 143","36-061-0115","AQS"
"01/22/2020","49","Good","DIVISION STREET","36-061-0134","AQS"
"01/23/2020","67","Moderate","Intermediate School 143","36-061-0115","AQS"
"01/24/2020","66","Moderate","DIVISION STREET","36-061-0134","AQS"
"01/25/2020","30","Good","DIVISION STREET","36-061-0134","AQS"
"01/26/2020","29","Good","Intermediate School 143","36-061-0115","AQS"
"01/27/2020","35","Good","Intermediate School 143","36-061-0115","AQS"
"01/28/2020","30","Good","Intermediate School 143","36-061-0115","AQS"
"01/29/2020","28","Good","Intermediate School 143","36-061-0115","AQS"
"01/30/2020","37","Good","Intermediate School 143","36-061-0115","AQS"
"01/31/2020","54","Moderate","Intermediate School 143","36-061-0115","AQS"
"02/01/2020","50","Good","DIVISION STREET","36-061-0134","AQS"
"02/02/2020","44","Good","Intermediate School 143","36-061-0115","AQS"
"02/03/2020","52","Moderate","Intermediate School 143","36-061-0115","AQS"
"02/04/2020","61","Moderate","Intermediate School 143","36-061-0115","AQS"
"02/05/2020","23","Good","CCNY","36-061-0135","AQS"
"02/06/2020","32","Good","DIVISION STREET","36-061-0134","AQS"
"02/07/2020","30","Good","Intermediate School 143","36-061-0115","AQS"
"02/08/2020","47","Good","Intermediate School 143","36-061-0115","AQS"
"02/09/2020","46","Good","Intermediate School 143","36-061-0115","AQS"
"02/10/2020","39","Good","Intermediate School 143","36-061-0115","AQS"
"02/11/2020","36","Good","Intermediate School 143","36-061-0115","AQS"
"02/12/2020","40","Good","DIVISION STREET","36-061-0134","AQS"
"02/13/2020","34","Good","Intermediate School 143","36-061-0115","AQS"
"02/14/2020","34","Good","Intermediate School 143","36-061-0115","AQS"
"02/15/2020","52","Moderate","DIVISION STREET","36-061-0134","AQS"
"02/16/2020","45","Good","Intermediate School 143","36-061-0115","AQS"
"02/17/2020","43","Good","Intermediate School 143","36-061-0115","AQS"
"02/18/2020","53","Moderate","DIVISION STREET","36-061-0134","AQS"
"02/19/2020","34","Good","Intermediate School 143","36-061-0115","AQS"
"02/20/2020","28","Good","Intermediate School 143","36-061-0115","AQS"
"02/21/2020","41","Good","DIVISION STREET","36-061-0134","AQS"
"02/22/2020","39","Good","Intermediate School 143","36-061-0115","AQS"
"02/23/2020","48","Good","DIVISION STREET","36-061-0134","AQS"
"02/24/2020","61","Moderate","IS 45","36-061-0079","AQS"
"02/25/2020","45","Good","Intermediate School 143","36-061-0115","AQS"
"02/26/2020","27","Good","DIVISION STREET","36-061-0134","AQS"
"02/27/2020","33","Good","DIVISION STREET","36-061-0134","AQS"
"02/28/2020","30","Good","Intermediate School 143","36-061-0115","AQS"
"02/29/2020","30","Good","Intermediate School 143","36-061-0115","AQS"
"03/01/2020","30","Good","Intermediate School 143","36-061-0115","AQS"
"03/02/2020","54","Moderate","Intermediate School 143","36-061-0115","AQS"
"03/03/2020","49","Good","Intermediate School 143","36-061-0115","AQS"
"03/04/2020","26","Good","Intermediate School 143","36-061-0115","AQS"
"03/05/2020","27","Good","Intermediate School 143","36-061-0115","AQS"
"03/06/2020","23","Good","Intermediate School 143","36-061-0115","AQS"
"03/07/2020","22","Good","Intermediate School 143","36-061-0115","AQS"
"03/08/2020","27","Good","Intermediate School 143","36-061-0115","AQS"
"03/09/2020","48","Good","Intermediate School 143","36-061-0115","AQS"
"03/10/2020","48","Good","Intermediate School 143","36-061-0115","AQS"
"03/11/2020","24","Good","Intermediate School 143","36-061-0115","AQS"
"03/12/2020","35","Good","CCNY","36-061-0135","AQS"
"03/13/2020","23","Good","Intermediate School 143","36-061-0115","AQS"
"03/14/2020","22","Good","Intermediate School 143","36-061-0115","AQS"
"03/15/2020","18","Good","Intermediate School 143","36-061-0115","AQS"
"03/16/2020","21","Good","CCNY","36-061-0135","AQS"
"03/17/2020","27","Good","Intermediate School 143","36-061-0115","AQS"
"03/18/2020","26","Good","Intermediate School 143","36-061-0115","AQS"
"03/19/2020","18","Good","Intermediate School 143","36-061-0115","AQS"
"03/20/2020","40","Good","Intermediate School 143","36-061-0115","AQS"
"03/21/2020","19","Good","Intermediate School 143","36-061-0115","AQS"
"03/22/2020","25","Good","CCNY","36-061-0135","AQS"
"03/23/2020","11","Good","CCNY","36-061-0135","AQS"
"03/24/2020","18","Good","Intermediate School 143","36-061-0115","AQS"
"03/25/2020","23","Good","Intermediate School 143","36-061-0115","AQS"
"03/26/2020","28","Good","Intermediate School 143","36-061-0115","AQS"
"03/27/2020","26","Good","Intermediate School 143","36-061-0115","AQS"
"03/28/2020","22","Good","CCNY","36-061-0135","AQS"
"03/29/2020","10","Good","CCNY","36-061-0135","AQS"
"03/30/2020","22","Good","Intermediate School 143","36-061-0115","AQS"
"03/31/2020","9","Good","Intermediate School 143","36-061-0115","AQS"
"04/01/2020","17","Good","Intermediate School 143","36-061-0115","AQS"
"04/02/2020","13","Good","Intermediate School 143","36-061-0115","AQS"
"04/03/2020","12","Good","CCNY","36-061-0135","AQS"
"04/04/2020","13","Good","CCNY","36-061-0135","AQS"
"04/05/2020","39","Good","Intermediate School 143","36-061-0115","AQS"
"04/06/2020","18","Good","CCNY","36-061-0135","AQS"
"04/07/2020","22","Good","Intermediate School 143","36-061-0115","AQS"
"04/08/2020","35","Good","Intermediate School 143","36-061-0115","AQS"
"04/09/2020","18","Good","Intermediate School 143","36-061-0115","AQS"
"04/10/2020","17","Good","Intermediate School 143","36-061-0115","AQS"
"04/11/2020","19","Good","Intermediate School 143","36-061-0115","AQS"
"04/12/2020","35","Good","CCNY","36-061-0135","AQS"
"04/13/2020","21","Good","Intermediate School 143","36-061-0115","AQS"
"04/14/2020","22","Good","Intermediate School 143","36-061-0115","AQS"
"04/15/2020","20","Good","Intermediate School 143","36-061-0115","AQS"
"04/16/2020","23","Good","Intermediate School 143","36-061-0115","AQS"
"04/17/2020","25","Good","Intermediate School 143","36-061-0115","AQS"
"04/18/2020","16","Good","CCNY","36-061-0135","AQS"
"04/19/2020","31","Good","Intermediate School 143","36-061-0115","AQS"
"04/20/2020","20","Good","CCNY","36-061-0135","AQS"
"04/21/2020","23","Good","CCNY","36-061-0135","AQS"
"04/22/2020","19","Good","Intermediate School 143","36-061-0115","AQS"
"04/23/2020","29","Good","Intermediate School 143","36-061-0115","AQS"
"04/24/2020","20","Good","CCNY","36-061-0135","AQS"
"04/25/2020","28","Good","Intermediate School 143","36-061-0115","AQS"
"04/26/2020","13","Good","CCNY","36-061-0135","AQS"
"04/27/2020","6","Good","CCNY","36-061-0135","AQS"
"04/28/2020","19","Good","CCNY","36-061-0135","AQS"
"04/29/2020","23","Good","CCNY","36-061-0135","AQS"
"04/30/2020","22","Good","CCNY","36-061-0135","AQS"
"05/01/2020","9","Good","CCNY","36-061-0135","AQS"
"05/02/2020","20","Good","Intermediate School 143","36-061-0115","AQS"
"05/03/2020","29","Good","CCNY","36-061-0135","AQS"
"05/04/2020","12","Good","CCNY","36-061-0135","AQS"
"05/06/2020","17","Good","CCNY","36-061-0135","AQS"
"05/07/2020","13","Good","CCNY","36-061-0135","AQS"
"05/08/2020","15","Good","CCNY","36-061-0135","AQS"
"05/10/2020","13","Good","CCNY","36-061-0135","AQS"
"05/11/2020","15","Good","CCNY","36-061-0135","AQS"
"05/13/2020","8","Good","CCNY","36-061-0135","AQS"
"05/14/2020","19","Good","CCNY","36-061-0135","AQS"
"05/15/2020","38","Good","CCNY","36-061-0135","AQS"
"05/17/2020","8","Good","CCNY","36-061-0135","AQS"
"05/18/2020","8","Good","CCNY","36-061-0135","AQS"
"05/19/2020","14","Good","CCNY","36-061-0135","AQS"
"05/20/2020","7","Good","CCNY","36-061-0135","AQS"
"05/21/2020","23","Good","CCNY","36-061-0135","AQS"
"05/22/2020","22","Good","CCNY","36-061-0135","AQS"
"05/23/2020","12","Good","CCNY","36-061-0135","AQS"
"05/24/2020","22","Good","CCNY","36-061-0135","AQS"
"05/25/2020","19","Good","CCNY","36-061-0135","AQS"
"05/27/2020","11","Good","CCNY","36-061-0135","AQS"
"05/28/2020","13","Good","CCNY","36-061-0135","AQS"
"05/29/2020","18","Good","CCNY","36-061-0135","AQS"
"05/30/2020","11","Good","CCNY","36-061-0135","AQS"
"06/02/2020","18","Good","CCNY","36-061-0135","AQS"
"06/03/2020","32","Good","CCNY","36-061-0135","AQS"
"06/04/2020","32","Good","CCNY","36-061-0135","AQS"
"06/05/2020","30","Good","CCNY","36-061-0135","AQS"
"06/06/2020","15","Good","CCNY","36-061-0135","AQS"
"06/08/2020","8","Good","CCNY","36-061-0135","AQS"
"06/09/2020","33","Good","CCNY","36-061-0135","AQS"
"06/10/2020","29","Good","CCNY","36-061-0135","AQS"
"06/11/2020","32","Good","CCNY","36-061-0135","AQS"
"06/14/2020","8","Good","CCNY","36-061-0135","AQS"
"06/15/2020","14","Good","CCNY","36-061-0135","AQS"
"06/16/2020","12","Good","CCNY","36-061-0135","AQS"
"06/19/2020","15","Good","CCNY","36-061-0135","AQS"
"06/20/2020","28","Good","CCNY","36-061-0135","AQS"
"06/21/2020","28","Good","CCNY","36-061-0135","AQS"
"06/22/2020","18","Good","CCNY","36-061-0135","AQS"
"06/23/2020","32","Good","CCNY","36-061-0135","AQS"
"06/25/2020","22","Good","CCNY","36-061-0135","AQS"
"06/26/2020","25","Good","CCNY","36-061-0135","AQS"
"06/27/2020","38","Good","CCNY","36-061-0135","AQS"
"06/28/2020","38","Good","CCNY","36-061-0135","AQS"
"06/29/2020","18","Good","CCNY","36-061-0135","AQS"
"07/01/2020","18","Good","CCNY","36-061-0135","AQS"
"07/02/2020","19","Good","CCNY","36-061-0135","AQS"
"07/03/2020","39","Good","CCNY","36-061-0135","AQS"
